author_did,pagerank,weighted_degree,reliability,leaning,pr_norm,deg_norm,combined_score
did:plc:5yla72xe6uil7epj4jbye3uc,0.0003264032709866308,1.5806221004007908,reliable,left,0.18686923559220306,0.11070889897329454,0.2975781345654976
did:plc:yun5yzvbtyt6oge4h35rg2jd,0.0003215033307662881,1.5857890147371665,reliable,left,0.18364446664273879,0.11107079660658997,0.29471526324932873
did:plc:xzinb6jermnsn26c2melbwtq,0.000316124519530994,1.593422915572136,questionable,left,0.1801045411178121,0.11160548529409882,0.2917100264119109
did:plc:kl4oswr2tihloje5hpasba7y,0.0003244473045985351,1.413053302072355,reliable,left,0.18558196689281353,0.0989721548391241,0.2845541217319376
did:plc:3tgznzk62346vhf5qn2jtbla,0.00030467628682806757,1.5936284464351835,reliable,left,0.17257018280189446,0.1116198809523319,0.28419006375422634
did:plc:dgpyzapw4a7zve5qy2qjqpfx,0.0003145977860832424,1.4841248821310695,reliable,left,0.1790997609786631,0.10395010394827392,0.283049864926937
did:plc:ep5l4ixikvwk6mqacxohricu,0.00032731086581552353,1.364371148501418,reliable,left,0.1874665456595293,0.09556239129088528,0.2830289369504146
did:plc:2yfslrb6n7umb4dfr6e4z2e6,0.00032497450039978444,1.3121845354584922,reliable,left,0.18592892717675716,0.09190717068523722,0.27783609786199437
did:plc:6m7rbdgaz5vyg4bnbefi7kh6,0.000311928728308843,1.3435337436036194,reliable,left,0.17734318962306245,0.09410291141070957,0.27144610103377204
did:plc:w5pxbmkjntxfw6mt4emennhv,0.0003060968282754868,1.3960814385715075,reliable,left,0.17350507542202198,0.09778342268029407,0.27128849810231603
did:plc:ljbiffenw7pty4fmvekaulea,0.0003155712019973523,1.2472583441666314,reliable,center,0.17974038949117102,0.08735965287523773,0.2671000423664087
did:plc:phod2o7bz2lycc42sqtwhubx,0.00032889775054441067,1.1021780304868887,reliable,left,0.188510912808918,0.07719803246887251,0.2657089452777905
did:plc:b2qfxejrpavolqzo7bpm6x7c,0.0002884355171460426,1.4475996799184725,reliable,left,0.16188174020241888,0.1013918296329216,0.2632735698353405
did:plc:lcfxrrbtacxggha36ej7fwpy,0.00031107595303983597,1.2187161120269268,reliable,center,0.17678195763150714,0.08536051652656486,0.262142474158072
did:plc:hhqzjk3wuvan75wdnacitt2m,0.00028531712744019045,1.4319783910199988,reliable,right,0.15982945265531534,0.10029769353672553,0.26012714619204086
did:plc:54qpdbqnhocq7yjb4ewu5io2,0.0002750437199408548,1.477815491342572,reliable,center,0.15306827516757576,0.10350818572682827,0.256576460894404
did:plc:yc54nj2zlnqrdotewpkbrauy,0.00029138592201845824,1.114533579124713,reliable,left,0.1638234728752817,0.07806343172246873,0.24188690459775042
did:plc:f5adlub6ce3mpu2pv63ew22o,0.00027458291827707606,1.2626243118116998,reliable,left,0.152765010468336,0.08843590592725657,0.24120091639559255
did:plc:bmbbjtlwyexpwtyxzzns7izv,0.00030352038810911434,0.9780500477097671,reliable,left,0.1718094579501645,0.06850394151471802,0.2403133994648825
did:plc:vaged6uocai4jrd2s5pd2ebo,0.00027710453623268924,1.1205921535119263,questionable,left,0.15442454811981862,0.07848778242564193,0.23291233054546057
did:plc:mjwatbcziskf47sa54xyo7oj,0.0002546072204472015,1.3020921573265938,reliable,left,0.13961852148909806,0.09120028693945048,0.23081880842854854
did:plc:zluhpi4abfzzr7ac6pecjhbl,0.00027458530854836594,1.0841672946038585,reliable,center,0.15276658356357586,0.07593653629037199,0.22870311985394787
did:plc:foc4lht37ziujsrhbz6jhyk7,0.00027009317931063666,1.1243817249846797,reliable,left,0.14981020486681765,0.07875320911126321,0.22856341397808086
did:plc:hlszecghna5q5kwrnypy3edu,0.00027392853749993323,1.0879684863955865,reliable,left,0.1523343466813584,0.07620277687877185,0.22853712356013023
did:plc:ajjmla7inolj73z7zov2jlly,0.0002675198753432235,1.1322632722974473,reliable,left,0.14811665140320687,0.07930524329133774,0.2274218946945446
did:plc:gx2mw5w2tfcwnlkkhpe6gp4x,0.0002616234610768173,1.1602198581372494,reliable,left,0.14423607882794495,0.08126336018505452,0.22549943901299946
did:plc:khssxrydvcapbp23tqkr7qpn,0.00026702190972327153,1.107361750310026,reliable,right,0.14778892820722683,0.07756110718107605,0.2253500353883029
did:plc:fck7wsgqbs6yrpaw6nirucek,0.0002609633940938981,1.1550478726920912,questionable,left,0.1438016728116741,0.08090110736447573,0.22470278017614984
did:plc:k5nskatzhyxersjilvtnz4lh,0.0002617878006699495,1.0534608377747354,reliable,left,0.1443442346815409,0.07378581473203034,0.21813004941357123
did:plc:u2dl3d6naztu22a2sax63voj,0.00026071162461200226,1.0223296797998789,reliable,left,0.14363597723762,0.07160534653391636,0.21524132377153637
did:plc:axornmwytvdbap3r3mnbubw7,0.00026912633180117243,0.9123608629566354,reliable,left,0.14917389917997623,0.06390298261592209,0.21307688179589832
did:plc:zqcjqlk7nfc5rsbxo6b3lm5h,0.00023456043998670932,1.2159725130003252,reliable,left,0.12642525131463034,0.08516835115864911,0.21159360247327946
did:plc:d2jith367s6ybc3ldsusgdae,0.0002458970370313721,1.0977557441171502,reliable,left,0.13388613950882547,0.07688828958041471,0.21077442908924018
did:plc:ptyzrjtbgyafg53l67dvepu4,0.0002420765738226402,1.0978368452550173,questionable,left,0.1313718004405771,0.07689397001324967,0.20826577045382677
did:plc:kttkuxc264c4fkrhzxxw6q4p,0.00024175190540111558,0.9684272396191298,reliable,left,0.13115812831448515,0.06782994708652697,0.1989880754010121
did:plc:6oxoffht66jg3utq5od2xkl5,0.00024319201334675996,0.9331661755290409,reliable,center,0.1321058981194535,0.06536021470644024,0.19746611282589374
did:plc:gzbfstetnmajkcyjffsngduk,0.0002267865754772367,0.9742030716184239,questionable,left,0.12130908341049698,0.06823449413236064,0.1895435775428576
did:plc:4alpbldnqdzjkyjb5bzrw5bp,0.0002177503455371546,0.906579693894857,reliable,right,0.11536212234145807,0.06349806175504985,0.17886018409650792
did:plc:tkwws5bwhlibz332qr43qsno,0.00022673900407839626,0.8119493972955274,reliable,center,0.12127777552448925,0.05687002843616128,0.17814780396065052
did:plc:vovinwhtulbsx4mwfw26r5ni,0.00021434740427201982,0.8441028759145319,reliable,left,0.1131225645437734,0.059122101347939965,0.17224466589171336
did:plc:rjuel2idbd5cvtf3toemjznp,0.0002644447647406499,0.3327157428679752,reliable,center,0.14609284687878063,0.023303858369850286,0.16939670524863093
did:plc:ag4wck6i2ulx7lwkakouqs56,0.00020957059471537153,0.804573189562162,reliable,center,0.10997883085660891,0.05635338892026932,0.16633221977687823
did:plc:kpkqu7odzhelr2idxytethe7,0.000198050505174117,0.8881148798903443,reliable,left,0.10239718182067693,0.06220476133386257,0.1646019431545395
did:plc:yxq674rwvxhlxzijrpots44b,0.00021081199712280187,0.7133088921209617,reliable,left,0.11079582774988765,0.04996111471207966,0.1607569424619673
did:plc:qoaagrvj4kiaghk34qvf5fjv,0.0002015261265018662,0.7969059824362111,reliable,center,0.10468457212215238,0.05581636741531948,0.16050093953747185
did:plc:desjew35o673vrmjvefd3opv,0.0001987533701535287,0.7989426447926289,questionable,left,0.10285975423163467,0.055959017987522786,0.15881877221915747
did:plc:ptkn43a4zzxxxoy5ctyrhf7j,0.00019299479948038135,0.7921383072560566,reliable,center,0.0990698998528067,0.05548243302978648,0.15455233288259318
